x	a.x	b.x	A.x	B.x
1	-0.08	-0.04715104	-4.962140998	0.02112114
2	-0.06	0.012098967	-7.51298582	0.018538174
3	0.04	-0.019695352	-7.966242885	0.019466233
4	0.00	-0.010095476	-8.209182674	0.020783746
5	0.08	-0.017716676	-8.390960189	0.021159281
6	0.08	-0.020136463	-8.492324033	0.021696125
7	0.02	-0.00438961	-8.574680965	0.021761
8	0.15	-0.018415219	-8.643811003	0.021978499
9	0.05	-0.015855231	-8.682840039	0.020677544
10	-0.01	0.001145433	-8.729584104	0.019978246
11	0.12	-0.018020185	-8.751210569	0.01906833
12	0.00	0.024705947	-8.682540252	0.017369149
13	0.00	0.010636109	-8.606021688	0.016121561
14	-0.03	-0.006556543	-8.479709443	0.015665289
15	0.07	0.01592284	-8.263031688	0.01500431
16	0.04	-0.011554763	-7.996159036	0.01457874
17	-0.09	-0.004467431	-7.623750306	0.015680891
18	-0.10	0.003402476	-7.348957155	0.015773352
19	-0.02	0.011607384	-7.039416881	0.014117014
20	0.07	0.017803402	-6.969830571	0.013478048
21	0.09	0.031420191	-6.947507957	0.012357105
22	0.12	0.034295214	-6.939381562	0.011710291
23	0.11	0.042397369	-6.951389029	0.011119911
24	0.12	0.048028718	-6.961978731	0.010071146
25	0.07	0.05337445	-6.973503099	0.009209746
26	0.07	0.046124604	-6.973311934	0.008613003
27	0.01	0.054770066	-6.964930075	0.008316415
28	0.03	0.052311354	-6.953676234	0.008297018
29	-0.07	0.054386641	-6.930482384	0.007986813
30	-0.11	0.039811192	-6.897716488	0.008056057
31	-0.14	0.060976098	-6.864376969	0.008028442
32	-0.14	0.049882869	-6.821198258	0.007677502
33	-0.17	0.045470188	-6.777503773	0.007608741
34	-0.20	0.051078708	-6.727969371	0.00785666
35	-0.20	0.03813989	-6.67002892	0.007805743
36	-0.24	0.03505173	-6.603419528	0.007901682
37	-0.25	0.034620078	-6.533089996	0.007999902
38	-0.27	0.024509197	-6.459253711	0.008270089
39	-0.25	0.019735326	-6.38065065	0.008400086
40	-0.28	0.014556446	-6.292739594	0.008479535
41	-0.28	0.021996057	-6.201633639	0.008682537
42	-0.29	0.015941318	-6.113367862	0.00874933
43	-0.31	0.0113197	-6.019398467	0.008988793
44	-0.30	0.012565852	-5.923552362	0.008977229
45	-0.29	0.013961957	-5.830051483	0.009028627
46	-0.31	0.007245188	-5.730403174	0.009072728
47	-0.32	0.00839782	-5.637095176	0.009124345
48	-0.30	0.010022363	-5.539952354	0.009057896
49	-0.31	0.009056115	-5.446984511	0.009088549
50	-0.33	0.010496126	-5.347015704	0.009087863
51	-0.31	0.001506591	-5.24693579	0.009221249
52	-0.31	0.00873477	-5.156433728	0.009100478
53	-0.29	0.006780047	-5.060640916	0.009100497
54	-0.28	0.005233491	-4.967999932	0.009046052
55	-0.28	0.006061681	-4.870705374	0.009075427
56	-0.26	0.006136958	-4.77871701	0.009084317
57	-0.25	0.008119125	-4.687363311	0.0090591
58	-0.27	0.008324765	-4.593625888	0.009165725
59	-0.26	0.007258684	-4.503190636	0.009235052
60	-0.25	0.004189478	-4.412149994	0.00924694
61	-0.25	0.006353684	-4.315554207	0.009426596
62	-0.23	0.004605328	-4.226195401	0.009508617
63	-0.23	0.003302898	-4.133744293	0.009678454
64	-0.22	0.003965988	-4.043237469	0.009851255
65	-0.21	0.001761951	-3.953221579	0.010045562
66	-0.21	0.002809469	-3.86032303	0.010243931
67	-0.20	0.003993355	-3.773567456	0.010297623
68	-0.19	0.003954497	-3.682969851	0.010565944
69	-0.20	0.002318532	-3.590569409	0.01064748
70	-0.19	0.005051982	-3.500231653	0.010715528
71	-0.20	0.002653079	-3.406446202	0.010838631
72	-0.20	0.002383945	-3.313884697	0.010761673
73	-0.20	0.003177189	-3.217975135	0.010781825
74	-0.18	0.002347997	-3.123399785	0.010711993
75	-0.17	0.004049802	-3.026749974	0.010579421
76	-0.19	0.003886796	-2.930892364	0.010399278
77	-0.17	0.003237212	-2.835397506	0.010208258
78	-0.17	0.003843771	-2.738393926	0.009910537
79	-0.16	0.00348926	-2.640518666	0.009612946
80	-0.15	0.003259291	-2.542463041	0.009351653
81	-0.14	0.003206184	-2.435706	0.009016005
82	-0.12	0.002032908	-2.33645481	0.008536312
83	-0.11	0.002660466	-2.235596515	0.008164156
84	-0.11	0.002942155	-2.135524425	0.007740229
85	-0.10	0.000791941	-2.035486596	0.007315729
86	-0.09	0.000752763	-1.93722829	0.006845218
87	-0.08	-0.00117757	-1.836031196	0.006379956
88	-0.07	-1.15E-06	-1.740490683	0.005930838
89	-0.06	0.001047138	-1.644804308	0.005438857
90	-0.05	-0.000540808	-1.551999093	0.004951247
91	-0.03	0.000282968	-1.453576188	0.004568953
