t	K.t	k.t
1970	44.60163246	0.244522804
1971	43.23515433	0.130612244
1972	43.0726296	0.660894519
1973	41.55086998	-0.404814194
1974	39.85823689	-0.493466151
1975	39.87761096	0.504819332
1976	38.70357495	0.749211915
1977	34.27536077	2.419886389
1978	34.81177601	2.350419474
1979	32.66692206	2.882876612
1980	31.09723037	2.630495894
1981	29.51297983	3.710038134
1982	27.31351541	3.837635516
1983	26.61462177	4.072797716
1984	23.08261312	3.308960167
1985	23.346061	2.429053409
1986	21.01060708	2.795603531
1987	17.20430236	4.843886314
1988	15.30185668	4.932837574
1989	13.95071989	6.315946596
1990	14.04849271	6.926016732
1991	12.07462465	8.11745802
1992	9.118580125	7.784883746
1993	9.2538504	6.946243762
1994	4.948798333	8.110767057
1995	4.697292089	5.952889138
1996	2.289873896	4.360084786
1997	-1.246863111	3.352887936
1998	-3.27756126	2.638168448
1999	-5.33888666	0.55716259
2000	-8.788680919	1.789039545
2001	-12.03910342	-0.029679928
2002	-13.67434591	-0.245694928
2003	-15.07595908	-1.134393274
2004	-21.29706603	-1.518693339
2005	-23.13026855	-2.24934853
2006	-26.91592353	-3.046769906
2007	-29.15815019	-3.363646021
2008	-31.24519317	-4.86581461
2009	-33.63758401	-4.427661022
2010	-36.07590453	-5.938062575
2011	-40.11305906	-6.169254262
2012	-41.11139323	-7.156857715
2013	-42.47724132	-7.247782713
2014	-46.99074746	-8.283544979
2015	-44.8416169	-8.226261349
2016	-48.0877543	-10.54897823
2017	-49.4821744	-8.575896515
2018	-50.04628413	-10.9278512
2019	-53.46802655	-10.50162846
